year,semi-year,code, NI , Dep , gain_on_disposition , loss_of_disposition , gain_on_appreciation , loss_of_appreciation , FFO , dividend ,dps
2024,2,365550,3600540919,15791392000,0,0,,,19391932919,29193000000,137
2024,1,365550,22534060750,15595427000,0,0,,,38129487750,29193000000,137
2023,2,365550,11852472755,14838283000,0,0,,,26690755755,29193000000,137
2023,1,365550,28013768456,13823988000,0,0,,,41837756456,28767000000,135
2022,2,365550,12762281756,13767305000,0,0,,,26529586756,28980000000,136
2022,1,365550,30175271482,13066668000,0,0,,,43241939482,28554000000,134
2021,2,365550,9485403543,7682730000,0,0,,,17168133543,19197000000,134
2021,1,365550,5409251855,5906579000,0,0,,,11315830855,19264000000,134
2020,2,365550,-1369070381,0,0,0,,,-1369070381,0,0
2020,1,365550,-125133733,0,0,0,,,-125133733,0,0
2025,1,350520,3472731645,0,0,0,3933304000,0,-460572355,5530000000,150
2024,2,350520,9285179114,0,0,0,5943410000,0,3341769114,5530000000,150
2024,1,350520,33710015120,0,0,0,35923092000,0,-2213076880,4254000000,150
2023,2,350520,7630769905,0,0,0,6921064000,0,709705905,3772000000,133
2023,1,350520,7817972365,0,0,0,3982507000,0,3835465365,3772000000,133
2022,2,350520,62734177923,0,0,0,61304706000,0,1429471923,3772000000,133
2022,1,350520,24201936372,0,0,0,22911498000,0,1290438372,2740000000,133
2021,2,350520,8103280124,0,0,0,6530000000,0,1573280124,2719000000,132
2021,1,350520,2567022713,0,0,0,650000000,0,1917022713,2678000000,130
2020,2,350520,7297243827,0,0,0,5950000000,0,1347243827,2678000000,130
2020,1,350520,-29277097,0,0,0,0,0,-29277097,0,0
2025,1,334890,-2064498917,0,0,0,1942516000,11024222000,7017207083,8891000000,173
2024,2,334890,-2312328925,0,0,1790067000,2745452000,4419665000,1151951075,31480000000,612
2024,1,334890,29482591484,0,0,0,32510422000,6165234000,3137403484,10839000000,211
2023,2,334890,34239363620,0,0,0,39032735000,12113652000,7320280620,10339000000,201
2023,1,334890,31673918022,0,0,0,34071853000,9783788000,7385853022,7823000000,213
2022,2,334890,45007641766,0,0,0,41912838000,0,3094803766,5585000000,152
2022,1,334890,4971321940,0,0,0,3083751000,614676000,2502246940,4693000000,152
2021,2,334890,22252694832,0,0,0,19499832000,0,2752862832,3648000000,152
2021,1,334890,2744775190,0,0,0,0,901072000,3645847190,3624000000,151
2020,2,334890,22360696295,0,0,0,21487809574,0,872886721.6,872944262.3,36.19672131
2020,1,334890,14705529735,0,0,0,0,0,14705529735,575185367.3,27.19216758
2019,2,334890,2839663.481,0,0,0,0,0,2839663.481,3407407.407,10.22222222
2025,1,357250,1738185146,1685565000,0,0,,,3423750146,3424000000,137
2024,2,357250,1534555756,1694825000,0,0,,,3229380756,3299000000,132
2024,1,357250,1833329662,1694827000,0,0,,,3528156662,3799000000,152
2023,2,357250,5581111973,1694826000,0,0,,,7275937973,2733000000,136
2023,1,357250,1422403966,1685565000,0,0,,,3107968966,3095000000,154
2022,2,357250,633285547,1694826000,0,0,,,2328111547,2713000000,135
2022,1,357250,1318817047,1685565000,0,0,,,3004382047,3015000000,150
2021,2,357250,583611374,1694825000,0,0,,,2278436374,2432000000,121
2021,1,357250,1188458437,1685565000,0,0,,,2874023437,3075000000,153
2020,2,357250,-399691865,1203087879,0,0,,,803396013.8,1367602817,68.04507042
