year,month,code, NI , Dep , gain_on_disposition , loss_of_disposition , gain_on_appreciation , loss_of_appreciation , gain_on_others , looss_of_others , FFO ,,,code,, dividend , dps ,
2023,12,395400," 17,542,958,867 "," 17,154,962,000 "," 14,584,190,000 ",,,,," 649,387,000 "," 20,763,117,867 ", 0.2569900024 , 0.0529558039 ,395400,"금융비용++, 처분이익발생, 임대수익++(유상증자후 사이즈 업)"," 42,468,000,000 ", 182 ,
2024,6,395400," 8,902,883,348 "," 23,659,016,000 ", - , - ,,,,," 32,561,899,348 ", 0.5682567308 , 0.9712830318 ,395400,금융수익++++," 35,658,000,000 ", 132 ,
2024,12,395400,"-227,105,056 "," 23,981,134,000 "," 1,387,136,000 ",,,,,," 22,366,892,944 ",-0.3130961832 , 0.0772415341 ,395400,"금융수익--, 금융비용++"," 36,008,000,000 ", 132 ,
2025,6,395400," 62,715,014,464 ",, - ," 1,342,113,000 "," 34,032,581,000 "," 17,606,000 ",,," 30,042,152,464 ", 0.3431526918 ,-0.0773832895 ,395400,"금융비용 소폭감소, 금융수익 소폭상승, 임대수익 소폭상승"," 38,530,000,000 ", 136 ,
2022,9,396690," 2,002,523,400 "," 3,004,619,000 ", - , - ,,," 24,420,000 "," 10,122,000 "," 4,992,844,400 ",-0.8338053704 ,-0.7767752359 ,396690,," 4,308,000,000 ", 148 ,
2023,3,396690," 7,621,711,500 "," 3,049,928,000 ", - , - ," 6,512,354,000 ",," 55,607,000 "," 1,155,527,000 "," 5,259,205,500 ", 0.0533485682 ,-0.8249391249 ,396690,," 4,478,000,000 ", 154 ,
2023,9,396690," 2,459,646,411 "," 3,036,143,000 ", - , - ," 1,060,411,000 ",," 47,323,000 "," 691,690,000 "," 5,079,745,411 ",-0.0341230418 , 0.0174051110 ,396690,," 4,359,000,000 ", 150 ,
2024,3,396690,"-1,297,195,149 "," 3,064,105,000 ", - , - ,," 1,598,382,000 "," 841,989,000 ",," 2,523,302,851 ",-0.5032619459 ,-0.5202121592 ,396690,금융원가++++," 4,755,000,000 ", 120 ,
2024,9,396690,"-793,221,925 "," 3,161,014,000 ", - , - ,," 2,522,395,000 "," 919,418,000 ",," 3,970,769,075 ", 0.5736395151 ,-0.2183133693 ,396690,금융원가++++," 5,245,000,000 ", 132 ,
2025,3,396690," 1,313,515,109 "," 3,298,349,000 ", - , - ,," 453,159,000 "," 975,343,000 ",," 4,089,680,109 ", 0.0299466002 , 0.6207646686 ,396690,금융원가----," 5,618,000,000 ", 142 ,
2021,12,400760," 1,507,866,029 "," 2,667,583,927 ", - , - ,,,,," 4,175,449,956 ", 0.0209722630 , 0.0515469112 ,400760,," 4,492,000,000 ", 106 ,
2022,6,400760," 3,489,896,271 "," 2,678,592,060 ", - , - ,,,,," 6,168,488,331 ", 0.4773230181 , 0.5083058251 ,400760,," 6,499,000,000 ", 154 ,
2022,12,400760," 3,854,948,486 "," 3,444,061,445 ", - , - ,,,,," 7,299,009,931 ", 0.1832736871 , 0.7480774546 ,400760,," 6,836,000,000 ", 162 ,
2023,6,400760," 531,620,247 "," 3,595,931,000 ", - , - ,,,,," 4,127,551,247 ",-0.4345053252 ,-0.3308650312 ,400760,"금융비용++, 세금과공과++++"," 5,824,000,000 ", 138 ,
2023,12,400760," 1,981,830,106 "," 3,207,690,000 ", - , - ,,,,," 5,189,520,106 ", 0.2572878677 ,-0.2890104062 ,400760,," 6,330,000,000 ", 150 ,
2024,6,400760," 4,039,520,387 "," 3,161,456,000 ", - , - ,,,,," 7,200,976,387 ", 0.3875996701 , 0.7446122304 ,400760,"세금과공과++, 금융비용++"," 5,908,000,000 ", 140 ,
2024,12,400760,"-1,053,814,925 "," 3,200,680,000 ", - , - ,,,,," 2,146,865,075 ",-0.7018647251 ,-0.5863075908 ,400760,"높아진 금융비용 유지, 중단영업비중 높아짐"," 8,754,000,000 ", 200 ,
2025,6,400760,"-731,827,959 "," 3,364,259,000 ", - , - ,,,,," 2,632,431,041 ", 0.2261744213 ,-0.6344341518 ,400760,," 7,441,000,000 ", 170 ,
2021,6,404990,"-347,931,693 "," 3,497,519,000 ", - , - ,,,,," 3,149,587,307 ", 0.1964557696 , 0.4670634609 ,404990,," 3,477,000,000 ", 120 ,
2021,12,404990," 1,653,483,263 "," 3,625,769,000 ", - , - ,,,,," 5,279,252,263 ", 0.6761727009 , 1.0054664988 ,404990,대규모 유상증자," 4,980,000,000 ", 89 ,
2022,6,404990," 3,321,786,667 "," 4,405,441,000 ", - , - ,,,,," 7,727,227,667 ", 0.4636973727 , 1.4534095784 ,404990,," 8,729,000,000 ", 156 ,
2022,12,404990," 5,439,414,713 "," 4,323,033,000 ", - , - ,,,,," 9,762,447,713 ", 0.2633829536 , 0.8492103098 ,404990,," 8,953,000,000 ", 160 ,
2023,6,404990," 4,503,444,459 "," 4,109,904,000 ", - , - ,,,,," 8,613,348,459 ",-0.1177060598 , 0.1146751241 ,404990,," 8,393,000,000 ", 150 ,
2023,12,404990," 5,313,300,888 "," 4,248,532,000 ", - , - ,,,,," 9,561,832,888 ", 0.1101179679 ,-0.0205496440 ,404990,금융비용++," 7,833,000,000 ", 140 ,
2024,6,404990,"-1,117,791,230 "," 4,319,999,791 ", - , - ," 2,614,522,862 ",,," 1,396,363,183 "," 1,984,048,882 ",-0.7925032883 ,-0.7696541721 ,404990,금융비용++++," 6,603,000,000 ", 118 ,
2024,12,404990," 10,271,178,851 "," 4,319,999,790 ", - , - ," 5,265,779,418 ",," 218,393,793 ",," 9,107,005,430 ", 3.5901114194 ,-0.0475669742 ,404990,금융비용++++," 7,274,000,000 ", 130 ,
2025,6,404990,"-3,670,178,085 "," 5,343,821,162 ", - , - ," 1,158,576,493 ",,,," 515,066,584 ",-0.9434428158 ,-0.7403962228 ,404990,"금융비용++++++, 수수료++++, 세금과공과 ++++ --> 사이즈업으로 인한영향?"," 7,313,000,000 ", 130 ,
2024,1,432320," 51,055,242,103 "," 7,374,468,000 ",,," 39,718,013,000 ",,,," 18,711,697,103 ", 35.3286955207 , 1.0546487258 ,432320,," 19,066,000,000 ", 188 ,
2024,7,432320,"-31,791,469,834 "," 7,955,351,000 ",,," 1,377,259,180 "," 44,142,628,162 ",,," 18,929,250,148 ", 0.0116265801 , 35.7510740087 ,432320,자산관리수수료++," 19,066,000,000 ", 188 ,
2025,1,432320," 18,964,573,555 "," 7,646,938,717 ",,," 8,936,030,634 ",," 1,124,357,716 "," 1,582,772 "," 16,552,706,694 ",-0.1255487373 ,-0.1153818597 ,432320,," 18,254,000,000 ", 180 ,
2025,7,432320,"-99,412,462,641 "," 87,857,890,800 ",,,," 2,195,838,644 "," 46,482,191 "," 17,375,931,618 "," 7,970,716,230 ",-0.5184644797 ,-0.5789206562 ,432320,"자산관리수수료++, 금융원가++++"," 17,240,000,000 ", 170 ,
2023,10,448730," 1,597,243,844 "," 2,118,003,000 ", - , - ,,,,," 3,715,246,844 ",-0.5338879548 ,-0.7755504938 ,448730,," 10,760,000,000 ", 139 ,
2024,4,448730," 2,711,520,324 "," 2,085,043,000 ",,,,,,," 4,796,563,324 ", 0.2910483544 ,-0.3982268110 ,448730,원인미상 기타수익++," 11,068,000,000 ", 143 ,
2024,10,448730," 1,258,639,747 "," 2,153,727,000 ",,,,,,," 3,412,366,747 ",-0.2885809033 ,-0.0815235460 ,448730,," 11,044,000,000 ", 131 ,
2025,4,448730," 6,058,245,811 "," 2,663,180,000 ",,,,,,," 8,721,425,811 ", 1.5558289767 , 0.8182655418 ,448730,수익성 개선," 12,861,000,000 ", 142 ,
2024,8,481850,"-10,797,131,008 ", - , - , - ," 5,219,495,000 "," 8,840,723,000 ",,,"-7,175,903,008 ",-1.8227901221 ,-3.1029108358 ,481850,," 5,478,000,000 ", 126 ,
2025,2,481850,"-4,797,457,820 ", - , - , - ," 10,224,344,000 "," 16,076,406,000 ",,," 1,054,604,180 ",-1.1469646648 ,-0.8790789255 ,481850,," 5,522,000,000 ", 127 ,
2025,8,481850,"-7,235,806,326 ",,,,," 11,879,700,000 ",,," 4,643,893,674 ", 3.4034470582 ,-1.6471511207 ,481850,,,,
2017,12,088260," 3,663,608,699 "," 3,044,262,000 ",,,,,,," 6,707,870,699 ", 0.4444496730 , 5.3605576634 ,088260,," 6,708,000,000 ", 141 ,
2018,6,088260," 4,402,740,732 "," 3,044,312,000 ",,,,,,," 7,447,052,732 ", 0.1101962256 , 0.6036225751 ,088260,," 7,447,000,000 ", 118 ,
2018,12,088260," 5,065,502,394 "," 3,659,710,000 ",,," 197,885,000 ",,,," 8,527,327,394 ", 0.1450606973 , 0.2712420642 ,088260,"대규모 차입, 투자부동산 대규모 매입으로 매출 증가"," 11,085,000,000 ", 175 ,
2019,6,88260," 6,478,378,456 "," 4,274,505,000 ",,,,,,," 10,752,883,456 ", 0.2609910420 , 0.4439112818 ,088260,," 11,085,000,000 ", 175 ,
2019,12,088260," 6,616,279,228 "," 4,274,505,000 ",,,,,,," 10,890,784,228 ", 0.0128245389 , 0.2771626706 ,088260,," 11,085,000,000 ", 175 ,
2020,6,088260," 6,772,559,011 "," 4,274,505,000 ",,,,,,," 11,047,064,011 ", 0.0143497272 , 0.0273582947 ,088260,," 11,085,000,000 ", 175 ,
2020,12,088260," 6,814,080,938 "," 4,275,395,000 ",,,,,,," 11,089,475,938 ", 0.0038392035 , 0.0182440223 ,088260,," 11,085,000,000 ", 175 ,
2021,6,88260," 7,221,500,600 "," 4,279,851,000 ",,,,,,," 11,501,351,600 ", 0.0371411295 , 0.0411229254 ,088260,," 1,137,000,000 ", 179 ,
2021,12,088260," 8,983,988,275 "," 4,279,850,000 ",,,,,,," 13,263,838,275 ", 0.1532417003 , 0.1960743997 ,088260,금융비용--," 12,979,000,000 ", 204 ,
2022,6,088260," 9,084,546,320 "," 4,279,852,000 ",,,,,,," 13,364,398,320 ", 0.0075815192 , 0.1619850244 ,088260,," 13,337,000,000 ", 210 ,
2022,12,088260," 9,325,677,643 "," 4,279,851,000 ",,,,,,," 13,605,528,643 ", 0.0180427369 , 0.0257610475 ,088260,," 12,342,000,000 ", 195 ,
2023,6,088260," 8,602,272,649 "," 4,287,067,000 ",,,,,," 929,598,000 "," 13,818,937,649 ", 0.0156854623 , 0.0340112078 ,088260,전기오류수정손실," 12,673,000,000 ", 200 ,
2023,12,088260," 9,908,135,053 "," 4,300,949,124 ",,,,,,," 14,209,084,177 ", 0.0282327439 , 0.0443610498 ,088260,," 12,925,000,000 ", 204 ,
2024,6,088260," 8,159,021,119 "," 4,300,949,124 ",,,,,,," 12,459,970,243 ",-0.1230982878 ,-0.0983409464 ,088260,이자비용++," 11,813,000,000 ", 186 ,
2024,12,088260," 5,028,748,467 "," 3,066,013,812 ",,,,,,," 8,094,762,279 ",-0.3503385545 ,-0.4303107661 ,088260,"이자비용++++, 금융수익--"," 11,155,000,000 ", 176 ,
2025,6,088260," 6,558,625,488 "," 3,066,013,812 ",,,,,,," 9,624,639,300 ", 0.1889959171 ,-0.2275551938 ,088260,높아진 금융비용 유지 ," 11,022,000,000 ", 174 ,
2022,5,417310," 3,813,033,785 "," 1,722,257,000 ",,,,,,," 5,535,290,785 ",-0.4248833008 ,-0.3161885928 ,417310,," 4,739,000,000 ", 146 ,
2022,11,417310," 4,160,520,959 "," 1,739,024,000 ",,,,,,," 5,899,544,959 ", 0.0658057884 ,-0.3870372930 ,417310,," 5,900,000,000 ", 145 ,
2023,5,417310," 4,892,306,868 "," 1,751,744,000 ",,,,,,," 6,644,050,868 ", 0.1261971752 , 0.2003074682 ,417310,," 36,104,000,000 ", 164 ,
2023,11,417310," 4,653,983,528 "," 1,752,276,000 ",,,,,,," 6,406,259,528 ",-0.0357901143 , 0.0858904496 ,417310,," 3,059,300,000 ", 156 ,
2024,5,417310," 5,927,739,983 "," 1,752,276,000 ",,,,,,," 7,680,015,983 ", 0.1988299802 , 0.1559237182 ,417310,," 7,463,000,000 ", 184 ,
2024,11,417310," 5,296,099,635 "," 1,752,277,000 ",,,,,,," 7,048,376,635 ",-0.0822445356 , 0.1002327652 ,417310,," 6,727,000,000 ", 166 ,
2025,5,417310," 6,423,057,230 "," 1,752,276,000 ",,,,,,," 8,175,333,230 ", 0.1598888160 , 0.0644942990 ,417310,," 7,650,000,000 ", 188 ,
2023,4,451800," 1,203,348,207 "," 3,316,240,000 ",,,,,,," 4,519,588,207 ",-0.4471677080 ,-0.3587760074 ,451800,," 9,261,000,000 ", 131 ,
2023,10,451800," 2,781,452,282 "," 4,014,396,000 ",,,,,,," 6,795,848,282 ", 0.5036432460 ,-0.1687374581 ,451800,"금융비용--, 동일 거래에 대한 수익성 개선"," 11,155,000,000 ", 158 ,
2024,4,451800," 3,204,444,953 "," 3,955,811,000 ",,,,,,," 7,160,255,953 ", 0.0536221022 , 0.5842717577 ,451800, 동일 거래에 대한 수익성 개선," 11,084,000,000 ", 157 ,
2024,10,451800," 2,799,718,358 "," 4,832,809,000 ",,,,,,," 7,632,527,358 ", 0.0659573356 , 0.1231162088 ,451800,"대규모 차입, 투자부동산 대규모 매입으로 매출 증가 <-> 금융비용증가, 세금증가, 수수료 증가"," 11,155,000,000 ", 158 ,
2025,4,451800," 10,791,907,422 "," 6,277,696,000 ",,,,,,," 17,069,603,422 ", 1.2364287242 , 1.3839376042 ,451800,"대규모 증자, 전기에 차입한 사채 상환, 추가적으로 임대료수익 대폭 증가"," 24,246,000,000 ", 135 ,
