year,month,code, NI , Dep , gain_on_disposition , loss_of_disposition , gain_on_appreciation , loss_of_appreciation , gain_on_others , looss_of_others , FFO ,,,code,, dividend , dps ,
2023,12,330590," 3,177,878,339 "," 20,056,320,000 ", - , - ,,,,," 23,234,198,339 ",-0.1241643760 ,-0.3319155959 ,330590,," 23,234,000,000 ", 95 ,
2024,6,330590," 5,841,464,604 "," 19,226,790,000 ", - , - ,,,,," 25,068,254,604 ", 0.0789377898 ,-0.0550278476 ,330590,증가한 금융비용 부담이 유지됨," 25,026,000,000 ", 103 ,
2024,12,330590," 10,613,567,528 "," 19,597,700,000 ", - , - ,,,,," 30,211,267,528 ", 0.2051603913 , 0.3002930890 ,330590,"기타수익++, 임대수익++ --> 적정한듯"," 32,365,000,000 ", 112 ,
2025,6,330590," 16,546,765,792 "," 19,645,368,000 ", - , - ,,,,," 36,192,133,792 ", 0.1979680680 , 0.4437436656 ,330590,," 33,809,000,000 ", 117 ,
2020,8,334890," 20,524,310,609 ", - , - , - ," 19,723,110,000 ", - ,,," 801,200,609 ",-0.9778625761 ,-0.9734800730 ,334890,," 872,944,262 ", 36 ,
2021,2,334890," 2,744,775,190 ", - , - , - , - ," 901,072,000 ",,," 3,645,847,190 ", 3.5504798037 ,-0.8992640995 ,334890,," 3,624,000,000 ", 151 ,
2021,8,334890," 22,252,694,832 ", - , - , - ," 19,499,832,000 ", - ,,," 2,752,862,832 ",-0.2449319216 , 2.4359220413 ,334890,," 3,648,000,000 ", 152 ,
2022,2,334890," 4,971,321,940 ", - , - , - ," 3,726,125,000 "," 614,676,000 ",,," 1,859,872,940 ",-0.3243859017 ,-0.4898653610 ,334890,," 4,693,000,000 ", 152 ,
2022,8,334890," 45,007,641,766 ", - , - , - ," 41,912,838,000 "," 1,905,787 ",,," 3,096,709,553 ", 0.6650113491 , 0.1249051413 ,334890,," 5,585,000,000 ", 152 ,
2023,2,334890," 31,673,918,022 ", - , - , - ," 34,071,853,000 "," 9,783,788,000 ",,," 7,385,853,022 ", 1.3850648230 , 2.9711599987 ,334890,"금융비용++++, 평가이익++"," 7,823,000,000 ", 213 ,
2023,8,334890," 34,239,363,620 ", - , - , - ," 39,032,735,000 "," 12,113,652,000 ",,," 7,320,280,620 ",-0.0088781082 , 1.3638899596 ,334890,배당수익++," 10,339,000,000 ", 201 ,
2024,2,334890," 29,482,591,484 ", - , - , - ," 32,510,422,000 "," 6,311,258,000 ",,," 3,283,427,484 ",-0.5514615280 ,-0.5554437011 ,334890,"배당수익--,"," 10,839,000,000 ", 211 ,
