Date,Close,ticker,Close,ticker,Close,ticker,Close,ticker,Close,ticker
2024-12-30,53200,005930,173900,000660,38200,035720,212000,005380,198900,035420
2024-12-27,53700,005930,174500,000660,38850,035720,215000,005380,197700,035420
2024-12-26,53600,005930,170100,000660,38550,035720,217500,005380,199900,035420
2024-12-24,54400,005930,168500,000660,39500,035720,216500,005380,202500,035420
2024-12-23,53500,005930,169600,000660,39700,035720,215000,005380,201000,035420
2024-12-20,53000,005930,168500,000660,40800,035720,210500,005380,210000,035420
2024-12-19,53100,005930,175000,000660,41200,035720,212000,005380,209500,035420
2024-12-18,54900,005930,183500,000660,43400,035720,216500,005380,212500,035420
2024-12-17,54200,005930,184000,000660,42850,035720,206500,005380,209500,035420
2024-12-16,55600,005930,179300,000660,43950,035720,211000,005380,214000,035420
2024-12-13,56100,005930,175500,000660,45900,035720,215000,005380,210000,035420
2024-12-12,55900,005930,176100,000660,43700,035720,211500,005380,208000,035420
2024-12-11,54000,005930,171800,000660,44600,035720,209000,005380,218000,035420
2024-12-10,54000,005930,170400,000660,43850,035720,210500,005380,209000,035420
2024-12-09,53400,005930,168900,000660,42300,035720,201000,005380,201500,035420
2024-12-06,54100,005930,167100,000660,44500,035720,203500,005380,204500,035420
2024-12-05,53700,005930,173000,000660,44100,035720,204500,005380,204000,035420
2024-12-04,53100,005930,168000,000660,46600,035720,209000,005380,202500,035420
2024-12-03,53600,005930,164900,000660,42950,035720,214500,005380,209000,035420
2024-12-02,53600,005930,158800,000660,42150,035720,216000,005380,203500,035420
2024-11-29,54200,005930,159900,000660,40100,035720,218500,005380,206500,035420
2024-11-28,55500,005930,161100,000660,38200,035720,219000,005380,204500,035420
2024-11-27,56300,005930,168300,000660,38350,035720,221000,005380,203000,035420
2024-11-26,58300,005930,177100,000660,37000,035720,223500,005380,195600,035420
2024-11-25,57900,005930,177000,000660,36150,035720,219000,005380,193200,035420
2024-11-22,56000,005930,176700,000660,36050,035720,217000,005380,190000,035420
2024-11-21,56400,005930,168800,000660,35150,035720,215500,005380,189700,035420
2024-11-20,55300,005930,170600,000660,35500,035720,218500,005380,193100,035420
2024-11-19,56300,005930,170600,000660,36250,035720,215500,005380,193000,035420
2024-11-18,56700,005930,171700,000660,35100,035720,217000,005380,190800,035420
2024-11-15,53500,005930,178200,000660,34050,035720,206000,005380,190000,035420
2024-11-14,49900,005930,173000,000660,32800,035720,201500,005380,188500,035420
2024-11-13,50600,005930,182900,000660,33400,035720,199900,005380,182200,035420
2024-11-12,53000,005930,185800,000660,33250,035720,207000,005380,181400,035420
2024-11-11,55000,005930,192600,000660,33700,035720,211000,005380,176000,035420
2024-11-08,57000,005930,200500,000660,35000,035720,203500,005380,174600,035420
2024-11-07,57500,005930,197400,000660,36550,035720,207500,005380,179700,035420
2024-11-06,57300,005930,195800,000660,36550,035720,206500,005380,176300,035420
2024-11-05,57600,005930,193200,000660,37750,035720,215000,005380,176500,035420
2024-11-04,58700,005930,194000,000660,37350,035720,216500,005380,175700,035420
2024-11-01,58300,005930,182200,000660,36150,035720,213500,005380,169700,035420
2024-10-31,59200,005930,186300,000660,36950,035720,215000,005380,170000,035420
2024-10-30,59100,005930,195000,000660,37350,035720,220500,005380,174400,035420
2024-10-29,59600,005930,190300,000660,37350,035720,224000,005380,169200,035420
2024-10-28,58100,005930,196000,000660,37450,035720,226500,005380,170400,035420
2024-10-25,55900,005930,201000,000660,36500,035720,225500,005380,167800,035420
2024-10-24,56600,005930,198200,000660,37450,035720,228500,005380,172100,035420
2024-10-23,59100,005930,196000,000660,37700,035720,241000,005380,172500,035420
2024-10-22,57700,005930,187800,000660,37350,035720,234500,005380,171200,035420
2024-10-21,59000,005930,190900,000660,39400,035720,237000,005380,176800,035420
2024-10-18,59200,005930,187300,000660,38500,035720,234500,005380,176800,035420
2024-10-17,59700,005930,196000,000660,37350,035720,235500,005380,175000,035420
2024-10-16,59500,005930,188700,000660,37600,035720,247000,005380,177000,035420
2024-10-15,61000,005930,192900,000660,37650,035720,246000,005380,175200,035420
2024-10-14,60800,005930,187500,000660,36500,035720,248500,005380,171400,035420
2024-10-11,59300,005930,186000,000660,37400,035720,248500,005380,173300,035420
2024-10-10,58900,005930,186700,000660,37350,035720,246000,005380,172400,035420
2024-10-08,60300,005930,178000,000660,37000,035720,246000,005380,166200,035420
2024-10-07,61000,005930,184900,000660,36750,035720,247000,005380,166100,035420
2024-10-04,60600,005930,174100,000660,36700,035720,239500,005380,170700,035420
2024-10-02,61300,005930,169100,000660,36000,035720,237000,005380,168200,035420
2024-09-30,61500,005930,174600,000660,36150,035720,244000,005380,169400,035420
2024-09-27,64200,005930,183800,000660,36650,035720,254500,005380,170400,035420
2024-09-26,64700,005930,180900,000660,36750,035720,259000,005380,170900,035420
2024-09-25,62200,005930,165300,000660,35850,035720,251500,005380,166200,035420
2024-09-24,63200,005930,163500,000660,36100,035720,253000,005380,168000,035420
2024-09-23,62600,005930,162000,000660,35500,035720,249000,005380,166700,035420
2024-09-20,63000,005930,157100,000660,34900,035720,250500,005380,159900,035420
2024-09-19,63100,005930,152800,000660,35300,035720,246000,005380,160600,035420
2024-09-13,64400,005930,162800,000660,35600,035720,237000,005380,160100,035420
2024-09-12,66300,005930,168800,000660,35350,035720,232000,005380,160000,035420
2024-09-11,64900,005930,157200,000660,34450,035720,223500,005380,156400,035420
2024-09-10,66200,005930,155500,000660,34050,035720,231000,005380,159000,035420
2024-09-09,67500,005930,157000,000660,34000,035720,229500,005380,155000,035420
2024-09-06,68900,005930,156400,000660,34000,035720,227500,005380,157200,035420
2024-09-05,69000,005930,159400,000660,34450,035720,229000,005380,159800,035420
2024-09-04,70000,005930,154800,000660,34150,035720,232500,005380,157500,035420
2024-09-03,72500,005930,168300,000660,36200,035720,237500,005380,165300,035420
2024-09-02,74400,005930,174000,000660,36900,035720,246000,005380,166600,035420
2024-08-30,74300,005930,173700,000660,37200,035720,255500,005380,169100,035420
2024-08-29,74000,005930,169700,000660,37000,035720,258500,005380,164900,035420
2024-08-28,76400,005930,179300,000660,37150,035720,259000,005380,163800,035420
2024-08-27,75800,005930,175000,000660,38000,035720,247500,005380,167900,035420
2024-08-26,76100,005930,179600,000660,38700,035720,249500,005380,170700,035420
2024-08-23,77700,005930,185500,000660,37450,035720,252500,005380,164900,035420
2024-08-22,78300,005930,191100,000660,37550,035720,248000,005380,164700,035420
2024-08-21,78300,005930,192600,000660,36600,035720,252500,005380,156400,035420
2024-08-20,78900,005930,199700,000660,36500,035720,256000,005380,156600,035420
2024-08-19,78300,005930,193900,000660,36650,035720,255000,005380,156600,035420
2024-08-16,80200,005930,199700,000660,36550,035720,255000,005380,157500,035420
2024-08-14,77200,005930,186700,000660,36800,035720,241000,005380,157300,035420
2024-08-13,76100,005930,181900,000660,36400,035720,243000,005380,156400,035420
2024-08-12,75500,005930,177000,000660,37100,035720,243500,005380,160300,035420
2024-08-09,74700,005930,171500,000660,37000,035720,243000,005380,163700,035420
