조회일자,기준일자,시장구분,단축코드/심볼,한글종목명,주기,종가,5년베타 실질베타,5년베타 조정베타,5년베타 포인트수
20210630,20210630,코스피,="088260","이리츠코크렙",Monthly,6210,0.118736,0.412491,
20210630,20210630,코스피,="140910","에이리츠",Monthly,14708,0.191055,0.460703,
20210630,20210630,코스피,="145270","케이탑리츠",Monthly,1859,0.716003,0.810669,
20210630,20210630,코스피,="204210","스타에스엠리츠",Monthly,4780,0.388046,0.592031,
20210630,20210630,코스피,="293940","신한알파리츠",Monthly,7978,-0.024036,0.317309,
20210630,20210630,코스피,="330590","롯데리츠",Monthly,5943,0.151382,0.434255,
20210630,20210630,코스피,="334890","이지스밸류플러스리츠",Monthly,5433,-0.58834,-0.058894,
20210630,20210630,코스피,="338100","NH프라임리츠",Monthly,4910,0.242522,0.495015,
20210630,20210630,코스피,="348950","제이알글로벌리츠",Monthly,5123,-0.331293,0.112471,
20210630,20210630,코스피,="350520","이지스레지던스리츠",Monthly,4998,-0.451466,0.032355,
20210630,20210630,코스피,="357120","코람코라이프인프라리츠",Monthly,5957,-0.402127,0.065248,
20210630,20210630,코스피,="357250","미래에셋맵스리츠",Monthly,5014,-0.387405,0.075063,
20210630,20210630,코스피,="365550","ESR켄달스퀘어리츠",Monthly,7375,1.67594,1.450627,
