조회일자,기준일자,시장구분,단축코드/심볼,한글종목명,주기,종가,5년베타 실질베타,5년베타 조정베타,5년베타 포인트수
20231231,20231228,코스피,088260,이리츠코크렙,Monthly,4855,0.261629,0.507753,60
20231231,20231228,코스피,140910,에이리츠,Monthly,3475,0.496847,0.664565,60
20231231,20231228,코스피,145270,케이탑리츠,Monthly,1020,0.953202,0.968802,60
20231231,20231228,코스피,204210,스타에스엠리츠,Monthly,11680,1.172794,1.115196,60
20231231,20231228,코스피,293940,신한알파리츠,Monthly,6356,0.087082,0.391388,60
20231231,20231228,코스피,330590,롯데리츠,Monthly,3146,0.285939,0.52396,50
20231231,20231228,코스피,334890,이지스밸류플러스리츠,Monthly,4484,0.292285,0.528191,41
20231231,20231228,코스피,338100,NH프라임리츠,Monthly,4020,0.142526,0.428351,48
20231231,20231228,코스피,348950,제이알글로벌리츠,Monthly,4080,0.224515,0.483011,40
20231231,20231228,코스피,350520,이지스레지던스리츠,Monthly,3709,0.220793,0.480529,40
20231231,20231228,코스피,357120,코람코라이프인프라리츠,Monthly,5149,0.18259,0.45506,40
20231231,20231228,코스피,357250,미래에셋맵스리츠,Monthly,2840,0.25396,0.50264,40
20231231,20231228,코스피,357430,마스턴프리미어리츠,Monthly,2680,0.43291,0.621941,19
20231231,20231228,코스피,365550,ESR켄달스퀘어리츠,Monthly,3629,0.66917,0.779447,36
20231231,20231228,코스피,377190,디앤디플랫폼리츠,Monthly,3164,0.374514,0.58301,28
20231231,20231228,코스피,395400,SK리츠,Monthly,3980,0.236312,0.490875,27
20231231,20231228,코스피,396690,미래에셋글로벌리츠,Monthly,2700,0.444652,0.629769,24
20231231,20231228,코스피,400760,NH올원리츠,Monthly,3349,0.1309,0.4206,25
20231231,20231228,코스피,404990,신한서부티엔디리츠,Monthly,3670,0.501439,0.667627,24
20231231,20231228,코스피,417310,코람코더원리츠,Monthly,4650,0.515512,0.677008,21
20231231,20231228,코스피,432320,KB스타리츠,Monthly,3970,0.501845,0.667897,14
20231231,20231228,코스피,448730,삼성FN리츠,Monthly,4994,0.010326,0.340218,8
20231231,20231228,코스피,451800,한화리츠,Monthly,4845,-0.018178,0.321215,9
