조회일자,기준일자,시장구분,단축코드/심볼,한글종목명,주기,종가,5년베타 실질베타,5년베타 조정베타,5년베타 포인트수
20230630,20230630,코스피,088260,이리츠코크렙,Monthly,5150,0.25311,0.502074,60
20230630,20230630,코스피,140910,에이리츠,Monthly,3960,0.524005,0.68267,60
20230630,20230630,코스피,145270,케이탑리츠,Monthly,1027,0.942893,0.961929,60
20230630,20230630,코스피,204210,스타에스엠리츠,Monthly,3890,0.456602,0.637735,60
20230630,20230630,코스피,293940,신한알파리츠,Monthly,6168,0.079713,0.386476,58
20230630,20230630,코스피,330590,롯데리츠,Monthly,3644,0.204304,0.469536,44
20230630,20230630,코스피,334890,이지스밸류플러스리츠,Monthly,4583,0.238303,0.492202,35
20230630,20230630,코스피,338100,NH프라임리츠,Monthly,4390,0.19367,0.462447,42
20230630,20230630,코스피,348950,제이알글로벌리츠,Monthly,4285,0.197009,0.464673,34
20230630,20230630,코스피,350520,이지스레지던스리츠,Monthly,3753,0.191261,0.460841,34
20230630,20230630,코스피,357120,코람코라이프인프라리츠,Monthly,5558,0.213905,0.475937,34
20230630,20230630,코스피,357250,미래에셋맵스리츠,Monthly,3264,0.298527,0.532352,34
20230630,20230630,코스피,357430,마스턴프리미어리츠,Monthly,3216,0.324298,0.549533,13
20230630,20230630,코스피,365550,ESR켄달스퀘어리츠,Monthly,3987,0.566157,0.710771,30
20230630,20230630,코스피,377190,디앤디플랫폼리츠,Monthly,3233,0.374423,0.582949,22
20230630,20230630,코스피,395400,SK리츠,Monthly,5047,0.126183,0.417456,21
20230630,20230630,코스피,396690,미래에셋글로벌리츠,Monthly,3300,0.423266,0.615511,18
20230630,20230630,코스피,400760,NH올원리츠,Monthly,3457,0.092569,0.395046,19
20230630,20230630,코스피,404990,신한서부티엔디리츠,Monthly,3450,0.503291,0.668861,18
20230630,20230630,코스피,417310,코람코더원리츠,Monthly,4770,0.629857,0.753238,15
20230630,20230630,코스피,432320,KB스타리츠,Monthly,4585,0.31197,0.541314,8
20230630,20230630,코스피,448730,삼성FN리츠,Monthly,5074,-0.656778,-0.104519,2
20230630,20230630,코스피,451800,한화리츠,Monthly,5096,-3.131337,-1.754225,3
