조회일자,기준일자,시장구분,단축코드/심볼,한글종목명,주기,종가,5년베타 실질베타,5년베타 조정베타,5년베타 포인트수
20241231,20241230,코스피,088260,이리츠코크렙,Monthly,4105,0.271399,0.514266,60
20241231,20241230,코스피,140910,에이리츠,Monthly,3130,0.497809,0.665206,60
20241231,20241230,코스피,145270,케이탑리츠,Monthly,953,0.983019,0.98868,60
20241231,20241230,코스피,204210,스타에스엠리츠,Monthly,2525,1.30284,1.201893,60
20241231,20241230,코스피,293940,신한알파리츠,Monthly,5640,0.166734,0.44449,60
20241231,20241230,코스피,330590,롯데리츠,Monthly,3050,0.288498,0.525666,60
20241231,20241230,코스피,334890,이지스밸류플러스리츠,Monthly,4331,0.262334,0.508223,53
20241231,20241230,코스피,338100,NH프라임리츠,Monthly,4050,0.16653,0.444354,60
20241231,20241230,코스피,348950,제이알글로벌리츠,Monthly,2755,0.25069,0.50046,52
20241231,20241230,코스피,350520,이지스레지던스리츠,Monthly,3830,0.211068,0.474046,52
20241231,20241230,코스피,357120,코람코라이프인프라리츠,Monthly,4085,0.228977,0.485985,52
20241231,20241230,코스피,357250,미래에셋맵스리츠,Monthly,2470,0.288636,0.525757,52
20241231,20241230,코스피,357430,마스턴프리미어리츠,Monthly,1535,0.395569,0.597046,31
20241231,20241230,코스피,365550,ESR켄달스퀘어리츠,Monthly,4231,0.607847,0.738565,48
20241231,20241230,코스피,377190,디앤디플랫폼리츠,Monthly,2945,0.357063,0.571376,40
20241231,20241230,코스피,395400,SK리츠,Monthly,4425,0.296853,0.531236,39
20241231,20241230,코스피,396690,미래에셋글로벌리츠,Monthly,2585,0.491537,0.661025,36
20241231,20241230,코스피,400760,NH올원리츠,Monthly,3329,0.18311,0.455407,37
20241231,20241230,코스피,404990,신한서부티엔디리츠,Monthly,3435,0.466339,0.644226,36
20241231,20241230,코스피,417310,코람코더원리츠,Monthly,4220,0.500043,0.666695,33
20241231,20241230,코스피,432320,KB스타리츠,Monthly,3890,0.503344,0.668896,26
20241231,20241230,코스피,448730,삼성FN리츠,Monthly,4600,0.070989,0.380659,20
20241231,20241230,코스피,451800,한화리츠,Monthly,3480,0.237034,0.491356,21
20241231,20241230,코스피,481850,신한글로벌액티브리츠,Monthly,2030,-3.522219,-2.014813,5
