조회일자,기준일자,시장구분,단축코드/심볼,한글종목명,주기,종가,5년베타 실질베타,5년베타 조정베타,5년베타 포인트수
20220630,20220630,코스피,088260,이리츠코크렙,Monthly,5800,0.245406,0.496937,
20220630,20220630,코스피,140910,에이리츠,Monthly,5600,0.571084,0.714057,
20220630,20220630,코스피,145270,케이탑리츠,Monthly,1095,0.978369,0.98558,
20220630,20220630,코스피,204210,스타에스엠리츠,Monthly,4925,0.389329,0.592887,
20220630,20220630,코스피,293940,신한알파리츠,Monthly,7547,0.037507,0.358338,
20220630,20220630,코스피,330590,롯데리츠,Monthly,5355,0.314273,0.542849,
20220630,20220630,코스피,334890,이지스밸류플러스리츠,Monthly,5067,0.21821,0.478807,
20220630,20220630,코스피,338100,NH프라임리츠,Monthly,4635,0.242134,0.494756,
20220630,20220630,코스피,348950,제이알글로벌리츠,Monthly,4850,0.180847,0.453898,
20220630,20220630,코스피,350520,이지스레지던스리츠,Monthly,4959,0.119051,0.412701,
20220630,20220630,코스피,357120,코람코라이프인프라리츠,Monthly,5797,0.257726,0.505151,
20220630,20220630,코스피,357250,미래에셋맵스리츠,Monthly,4233,0.194356,0.462904,
20220630,20220630,코스피,357430,마스턴프리미어리츠,Monthly,5154,0,0.333333,
20220630,20220630,코스피,365550,ESR켄달스퀘어리츠,Monthly,5598,1.21127,1.140847,
20220630,20220630,코스피,377190,디앤디플랫폼리츠,Monthly,4679,0.671447,0.780965,
20220630,20220630,코스피,395400,SK리츠,Monthly,5679,0.887204,0.924803,
20220630,20220630,코스피,396690,미래에셋글로벌리츠,Monthly,4823,1.447784,1.298523,
20220630,20220630,코스피,400760,NH올원리츠,Monthly,4831,0.486823,0.657882,
20220630,20220630,코스피,404990,신한서부티엔디리츠,Monthly,4905,1.054218,1.036146,
20220630,20220630,코스피,417310,코람코더원리츠,Monthly,5610,1.012329,1.00822,
