조회일자,기준일자,시장구분,단축코드/심볼,한글종목명,주기,종가,5년베타 실질베타,5년베타 조정베타,5년베타 포인트수
20221231,20221229,코스피,088260,이리츠코크렙,Monthly,5200,0.250128,0.500085,54
20221231,20221229,코스피,140910,에이리츠,Monthly,4095,0.508089,0.67206,60
20221231,20221229,코스피,145270,케이탑리츠,Monthly,885,0.924378,0.949586,60
20221231,20221229,코스피,204210,스타에스엠리츠,Monthly,3715,0.498466,0.665644,60
20221231,20221229,코스피,293940,신한알파리츠,Monthly,6465,0.055061,0.370041,52
20221231,20221229,코스피,330590,롯데리츠,Monthly,3978,0.185066,0.456711,38
20221231,20221229,코스피,334890,이지스밸류플러스리츠,Monthly,4663,0.237544,0.491696,29
20221231,20221229,코스피,338100,NH프라임리츠,Monthly,4040,0.168518,0.445679,36
20221231,20221229,코스피,348950,제이알글로벌리츠,Monthly,4210,0.154872,0.436582,28
20221231,20221229,코스피,350520,이지스레지던스리츠,Monthly,3842,0.164807,0.443205,28
20221231,20221229,코스피,357120,코람코라이프인프라리츠,Monthly,5358,0.246488,0.497659,28
20221231,20221229,코스피,357250,미래에셋맵스리츠,Monthly,3411,0.258734,0.505823,28
20221231,20221229,코스피,357430,마스턴프리미어리츠,Monthly,3654,0.163292,0.442195,7
20221231,20221229,코스피,365550,ESR켄달스퀘어리츠,Monthly,3967,0.573018,0.715346,24
20221231,20221229,코스피,377190,디앤디플랫폼리츠,Monthly,3372,0.299569,0.533046,16
20221231,20221229,코스피,395400,SK리츠,Monthly,5442,0.23227,0.48818,15
20221231,20221229,코스피,396690,미래에셋글로벌리츠,Monthly,3623,0.38595,0.590634,12
20221231,20221229,코스피,400760,NH올원리츠,Monthly,3359,-0.115246,0.256502,13
20221231,20221229,코스피,404990,신한서부티엔디리츠,Monthly,3645,0.383631,0.589088,12
20221231,20221229,코스피,417310,코람코더원리츠,Monthly,4270,0.614023,0.742682,9
20221231,20221229,코스피,432320,KB스타리츠,Monthly,4425,0.27041,0.513607,2
