조회일자,기준일자,시장구분,단축코드/심볼,한글종목명,주기,종가,5년베타 실질베타,5년베타 조정베타,5년베타 포인트수
20201231,20201230,코스피,="088260","이리츠코크렙",Monthly,5410,0.12495,0.416634,
20201231,20201230,코스피,="140910","에이리츠",Monthly,6488,0.169147,0.446098,
20201231,20201230,코스피,="145270","케이탑리츠",Monthly,1132,0.822418,0.881612,
20201231,20201230,코스피,="204210","스타에스엠리츠",Monthly,2935,0.338114,0.558743,
20201231,20201230,코스피,="293940","신한알파리츠",Monthly,6927,-0.02469,0.316873,
20201231,20201230,코스피,="330590","롯데리츠",Monthly,5195,0.169398,0.446266,
20201231,20201230,코스피,="334890","이지스밸류플러스리츠",Monthly,4561,-0.594576,-0.063051,
20201231,20201230,코스피,="338100","NH프라임리츠",Monthly,4265,0.256955,0.504637,
20201231,20201230,코스피,="348950","제이알글로벌리츠",Monthly,5123,-0.395859,0.069427,
20201231,20201230,코스피,="350520","이지스레지던스리츠",Monthly,4846,-0.560519,-0.040346,
20201231,20201230,코스피,="357120","코람코라이프인프라리츠",Monthly,4722,-0.318475,0.121016,
20201231,20201230,코스피,="357250","미래에셋맵스리츠",Monthly,4675,-0.381727,0.078848,
