조회일자,기준일자,시장구분,단축코드/심볼,한글종목명,주기,종가,5년베타 실질베타,5년베타 조정베타,5년베타 포인트수
20200630,20200630,코스피,="088260","이리츠코크렙",Monthly,5690,0.399748,0.599832,
20200630,20200630,코스피,="140910","에이리츠",Monthly,5396,0.498134,0.665423,
20200630,20200630,코스피,="145270","케이탑리츠",Monthly,725,0.590757,0.727172,
20200630,20200630,코스피,="204210","스타에스엠리츠",Monthly,2710,0.260667,0.507111,
20200630,20200630,코스피,="293940","신한알파리츠",Monthly,6517,0.036904,0.357936,
20200630,20200630,코스피,="330590","롯데리츠",Monthly,5351,0.393418,0.595613,
20200630,20200630,코스피,="338100","NH프라임리츠",Monthly,4630,0.543968,0.695979,
