조회일자,기준일자,시장구분,단축코드/심볼,한글종목명,주기,종가,5년베타 실질베타,5년베타 조정베타,5년베타 포인트수
20240630,20240628,코스피,088260,이리츠코크렙,Monthly,4760,0.257653,0.505102,60
20240630,20240628,코스피,140910,에이리츠,Monthly,3130,0.476276,0.650851,60
20240630,20240628,코스피,145270,케이탑리츠,Monthly,1025,0.993021,0.995348,60
20240630,20240628,코스피,204210,스타에스엠리츠,Monthly,3055,1.261288,1.174193,60
20240630,20240628,코스피,293940,신한알파리츠,Monthly,6257,0.111366,0.407578,60
20240630,20240628,코스피,330590,롯데리츠,Monthly,3260,0.269074,0.512717,56
20240630,20240628,코스피,334890,이지스밸류플러스리츠,Monthly,5160,0.244417,0.496278,47
20240630,20240628,코스피,338100,NH프라임리츠,Monthly,4385,0.157786,0.438524,54
20240630,20240628,코스피,348950,제이알글로벌리츠,Monthly,3980,0.201722,0.467815,46
20240630,20240628,코스피,350520,이지스레지던스리츠,Monthly,4216,0.207767,0.471845,46
20240630,20240628,코스피,357120,코람코라이프인프라리츠,Monthly,4650,0.20102,0.467347,46
20240630,20240628,코스피,357250,미래에셋맵스리츠,Monthly,3080,0.261246,0.507498,46
20240630,20240628,코스피,357430,마스턴프리미어리츠,Monthly,2532,0.359319,0.57288,25
20240630,20240628,코스피,365550,ESR켄달스퀘어리츠,Monthly,4589,0.604533,0.736356,42
20240630,20240628,코스피,377190,디앤디플랫폼리츠,Monthly,3377,0.358859,0.572573,34
20240630,20240628,코스피,395400,SK리츠,Monthly,4815,0.296975,0.531317,33
20240630,20240628,코스피,396690,미래에셋글로벌리츠,Monthly,3035,0.487996,0.658664,30
20240630,20240628,코스피,400760,NH올원리츠,Monthly,3606,0.173509,0.449006,31
20240630,20240628,코스피,404990,신한서부티엔디리츠,Monthly,4320,0.44315,0.628767,30
20240630,20240628,코스피,417310,코람코더원리츠,Monthly,5030,0.47748,0.651653,27
20240630,20240628,코스피,432320,KB스타리츠,Monthly,4455,0.4873,0.6582,20
20240630,20240628,코스피,448730,삼성FN리츠,Monthly,5024,0.029916,0.353278,14
20240630,20240628,코스피,451800,한화리츠,Monthly,4768,0.020841,0.347228,15
