조회일자,기준일자,시장구분,단축코드/심볼,한글종목명,주기,종가,5년베타 실질베타,5년베타 조정베타,5년베타 포인트수
20211231,20211230,코스피,="088260","이리츠코크렙",Monthly,5960,0.125319,0.41688,
20211231,20211230,코스피,="140910","에이리츠",Monthly,8840,0.337853,0.558569,
20211231,20211230,코스피,="145270","케이탑리츠",Monthly,1410,0.785885,0.857257,
20211231,20211230,코스피,="204210","스타에스엠리츠",Monthly,4750,0.430481,0.620321,
20211231,20211230,코스피,="293940","신한알파리츠",Monthly,7734,0.009892,0.339929,
20211231,20211230,코스피,="330590","롯데리츠",Monthly,5534,0.180785,0.453857,
20211231,20211230,코스피,="334890","이지스밸류플러스리츠",Monthly,5665,-0.236118,0.175921,
20211231,20211230,코스피,="338100","NH프라임리츠",Monthly,4780,0.194322,0.462882,
20211231,20211230,코스피,="348950","제이알글로벌리츠",Monthly,5292,-0.197989,0.20134,
20211231,20211230,코스피,="350520","이지스레지던스리츠",Monthly,5136,-0.24818,0.16788,
20211231,20211230,코스피,="357120","코람코라이프인프라리츠",Monthly,6379,-0.117819,0.254787,
20211231,20211230,코스피,="357250","미래에셋맵스리츠",Monthly,4818,-0.148577,0.234281,
20211231,20211230,코스피,="365550","ESR켄달스퀘어리츠",Monthly,6294,1.006997,1.004665,
20211231,20211230,코스피,="377190","디앤디플랫폼리츠",Monthly,5347,0.593317,0.728878,
20211231,20211230,코스피,="395400","SK리츠",Monthly,6084,0.602516,0.735011,
20211231,20211230,코스피,="400760","NH올원리츠",Monthly,5127,0,0.333333,
