Code,Date,Year,Month,Day,Div_total,Div_per_stock,Div_per_stock_ytd,Div_yield
357250,2024-05-31,2024,5,31,"3,799,255,960.00",152,152,0.15
357250,2023-11-30,2023,11,30,"2,733,600,000.00",136,290,0.14
357250,2023-05-31,2023,5,31,"3,095,400,000.00",154,154,0.15
357250,2022-05-31,2022,5,31,"3,015,000,000.00",150,150,0.15
357250,2021-11-30,2021,11,30,"2,432,100,000.00",121,274,0.12
357250,2021-05-31,2021,5,31,"3,075,300,000.00",153,153,0.15
357250,2020-11-30,2020,11,30,"2,653,000,000.00",132,132,0.13
350520,2025-06-30,2025,6,30,"5,529,930,300.00",150,150,0.15
350520,2024-12-31,2024,12,31,"5,529,930,300.00",150,300,0.15
350520,2024-06-30,2024,6,30,"4,253,792,550.00",150,150,0.15
350520,2023-12-31,2023,12,31,"3,771,696,061.00",133,266,0.13
350520,2023-06-30,2023,6,30,"3,771,696,061.00",133,133,0.13
350520,2022-12-31,2022,12,31,"3,771,696,061.00",133,266,0.13
350520,2022-06-30,2022,6,30,"2,739,800,000.00",133,133,0.13
350520,2021-12-31,2021,12,31,"2,719,200,000.00",132,262,0.13
350520,2021-06-30,2021,6,30,"2,678,000,000.00",130,130,0.13
350520,2020-12-31,2020,12,31,"2,678,000,000.00",130,130,0.13
334890,2025-08-31,2025,8,31,"11,935,885,304.00",172,345,0.17
334890,2025-06-30,2025,6,30,"8,890,996,410.00",173,173,0.17
334890,2024-08-31,2024,8,31,"31,480,037,590.00",612,823,0.61
334890,2024-02-29,2024,2,29,"10,839,413,902.00",211,211,0.21
334890,2023-08-31,2023,8,31,"10,338,586,154.00",201,414,0.2
334890,2023-02-28,2023,2,28,"7,823,260,984.00",213,213,0.21
334890,2022-08-31,2022,8,31,"5,585,290,920.00",152,304,0.15
334890,2022-02-28,2022,2,28,"4,692,673,504.00",152,152,0.15
334890,2021-08-31,2021,8,31,"3,648,000,000.00",152,303,0.15
334890,2021-02-28,2021,2,28,"3,624,000,000.00",151,151,0.15
334890,2020-08-31,2020,8,31,"1,446,904,620.00",60,60,0.06
338100,2025-05-31,2025,5,31,"2,351,160,000.00",126,126,0.25
338100,2024-11-30,2024,11,30,"9,665,880,000.00",518,658,1.04
338100,2024-05-31,2024,5,31,"2,612,400,000.00",140,140,0.28
338100,2023-11-30,2023,11,30,"7,464,000,000.00",400,531,0.8
338100,2023-05-31,2023,5,31,"2,444,460,000.00",131,131,0.26
338100,2022-05-31,2022,5,31,"2,052,600,000.00",110,110,0.22
338100,2021-11-30,2021,11,30,"2,295,180,000.00",123,248,0.25
338100,2021-05-31,2021,5,31,"2,332,500,000.00",125,125,0.25
338100,2020-11-30,2020,11,30,"2,220,540,000.00",119,246,0.24
338100,2020-05-31,2020,5,31,"2,369,820,000.00",127,127,0.25
330590,2025-09-30,2025,9,30,"33,809,359,428.00",117,117,0.23
330590,2024-12-31,2024,12,31,"32,364,515,008.00",112,215,0.22
330590,2024-06-30,2024,6,30,"25,025,795,052.00",103,103,0.21
330590,2023-12-31,2023,12,31,"23,234,198,171.00",95,204,0.19
330590,2023-06-30,2023,6,30,"26,528,034,856.00",109,109,0.22
330590,2022-12-31,2022,12,31,"34,777,339,371.00",143,306,0.29
330590,2022-06-30,2022,6,30,"39,691,102,858.00",163,163,0.33
330590,2021-12-31,2021,12,31,"38,808,309,090.00",159,298,0.32
330590,2021-06-30,2021,6,30,"33,957,214,408.00",139,139,0.28
330590,2020-12-31,2020,12,31,"27,838,013,415.00",161,322,0.32
330590,2020-06-30,2020,6,30,"27,777,592,575.00",161,161,0.32
330590,2019-12-31,2019,12,31,"16,587,870,199.00",96,96,0.19
293940,2025-03-31,2025,3,31,"22,566,641,279.00",173,173,0.17
293940,2024-09-30,2024,9,30,"15,417,521,525.00",175,817,0.18
293940,2024-03-31,2024,3,31,"58,212,278,966,000.00",642,642,0.64
293940,2023-09-30,2023,9,30,"16,386,622,878.00",186,376,0.19
293940,2023-03-31,2023,3,31,"14,027,723,370.00",190,190,0.19
293940,2022-09-30,2022,9,30,"14,396,873,985.00",195,387,0.2
293940,2022-03-31,2022,3,31,"10,068,223,360.00",192,192,0.19
293940,2021-09-30,2021,9,30,"9,262,431,771.00",177,341,0.18
293940,2021-03-31,2021,3,31,"8,582,140,172.00",164,164,0.16
293940,2020-09-30,2020,9,30,"8,006,508,819.00",153,303,0.15
293940,2020-03-31,2020,3,31,"7,114,518,450.00",150,150,0.15
293940,2019-09-30,2019,9,30,"6,668,217,220.00",140,277,0.14
293940,2019-03-31,2019,3,31,"6,525,326,851.00",137,137,0.14
293940,2018-09-30,2018,9,30,"4,420,310,268.00",116,116,0.12
88260,2025-06-30,2025,6,30,"11,021,995,299.00",174,174,0.35
88260,2024-12-31,2024,12,31,"11,155,226,661.00",176,362,0.35
88260,2024-06-30,2024,6,30,"11,813,468,411.00",186,186,0.37
88260,2023-12-31,2023,12,31,"12,925,337,432.00",204,404,0.41
88260,2023-06-30,2023,6,30,"12,673,340,474.00",200,200,0.4
88260,2022-12-31,2022,12,31,"12,342,146,884.00",195,405,0.39
88260,2022-06-30,2022,6,30,"13,337,052,094.00",210,210,0.42
88260,2021-12-31,2021,12,31,"12,978,792,455.00",204,383,0.41
88260,2021-06-30,2021,6,30,"11,369,693,150.00",179,179,0.36
88260,2020-12-31,2020,12,31,"11,084,778,250.00",175,350,0.35
88260,2020-06-30,2020,6,30,"11,084,778,250.00",175,175,0.35
88260,2019-12-31,2019,12,31,"11,084,778,250.00",175,350,0.35
88260,2019-06-30,2019,6,30,"11,084,778,250.00",175,175,0.35
88260,2018-12-31,2018,12,31,"11,084,778,250.00",175,293,0.35
88260,2018-06-30,2018,6,30,"7,447,052,064.00",118,118,0.24
